Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AE,DWC,Dubai World Central Apt,Dubai World Central Apt,,AI,--34----,1007,,2453N 05510E,
,AE,END,Esnnad,Esnnad,AZ,RQ,1-------,0901,,2419N 05427E,
,AE,FAT,Fateh Terminal,Fateh Terminal,,QQ,1-------,8103,,,
,AE,FRP,Free Port,Free Port,DU,RL,1-------,1407,,2515N 05515E,
,AE,HAB,Habshan,Habshan,AZ,RL,--3-----,1207,,2356N 05338E,
+,AE,HIL,Hail,Hail,AZ,RL,------7-,1801,,3500N 03330E,
,AE,HZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,RL,1-------,1407,,2518N 05519E,
,AE,HAT,Hatta,Hatta,DU,RL,--3-----,1707,,2447N 05607E,
,AE,HTL,Hulaylah Terminal,Hulaylah Terminal,,RQ,1-------,0901,,2559N 05556E,
,AE,IND,Indooroodilly,Indooroodilly,,RQ,--3-----,0201,,,
,AE,JEA,Jebel Ali,Jebel Ali,,QQ,1-------,8103,,,
,AE,QWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,RL,1-3-----,1401,,2500N 05503E,
,AE,JED,Jebel Dhanna,Jebel Dhanna,,QQ,1-------,8103,,,
,AE,JYH,Jumayrah,Jumayrah,,RL,--3-----,0201,,2510N 05513E,
,AE,KLB,Kalba,Kalba,,RL,1-3-----,0601,,2504N 05621E,
,AE,KHA,Khalidia,Khalidia,,RQ,--3-----,0201,,,
,AE,KLF,Khor al Fakkan,Khor al Fakkan,,RL,1-------,0212,,2520N 05621E,
,AE,MAS,Masfut,Masfut,,RQ,0-------,9307,,,
,AE,MKH,Mina Khalid,Mina Khalid,SH,RL,1-3-----,0401,,2521N 05522E,
,AE,KHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,RL,1-------,1207,,2450N 05440E,
,AE,MRP,Mina Rashid Port,Mina Rashid Port,AZ,RL,1-------,1407,,2516N 05517E,
,AE,MSA,Mina Saqr,Mina Saqr,RK,RQ,1-------,1307,,,
,AE,MZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,RL,1-------,0401,,2431N 05422E,
,AE,NHD,Minhad,Minhad,,AI,---4----,9506,,,
,AE,RFA,Mirfa,Mirfa,AZ,RQ,1----6--,0907,,2528N 05329E,
,AE,MUB,Mubarek Terminal,Mubarek Terminal,,QQ,1-------,8103,,,
,AE,MBS,Mubarras Island,Mubarras Island,,RQ,1-------,9506,,,
,AE,FMZ,Musafa,Musafa,,RQ,0-------,9307,,,
,AE,AMF,Mussafah,Mussafah,AZ,RL,1-------,0901,,2423N 05429E,
,AE,OFJ,Offshore Fujairah,Offshore Fujairah,,RQ,------7-,0907,,2515N 05640E,
,AE,PRA,Port Rashid,Port Rashid,,RQ,1-------,9506,,,
,AE,RKP,Rak Khor Port,Rak Khor Port,RK,RL,1-------,1307,,2549N 05557E,
,AE,RMC,Rak Maritime City,Rak Maritime City,RK,RL,1-------,1307,,2557N 05603E,
,AE,RKT,Ras al Khaimah,Ras al Khaimah,,AI,1--4----,0212,,2547N 05557E,
,AE,RAK,Ras Al Khor,Ras Al Khor,DU,RQ,-----6--,1007,,2517N 05534E,
